	Model	Metric	Value
0	Single Tree	Accuracy	0.783661119515885
1	Bagging Tree	Accuracy	0.8169440242057489
2	Random Forests	Accuracy	0.794251134644478
3	Single Tree	Precision	0.6634615384615384
4	Bagging Tree	Precision	0.7647058823529411
5	Random Forests	Precision	0.7551020408163265
6	Single Tree	Recall	0.6540284360189573
7	Bagging Tree	Recall	0.6161137440758294
8	Random Forests	Recall	0.5260663507109005
9	Single Tree	Specificity	0.8444444444444444
10	Bagging Tree	Specificity	0.9111111111111111
11	Random Forests	Specificity	0.92
12	Single Tree	f1	0.6587112171837709
13	Bagging Tree	f1	0.6824146981627297
14	Random Forests	f1	0.6201117318435754
15	Single Tree	roc_auc	0.7492364402317009
16	Bagging Tree	roc_auc	0.7636124275934701
17	Random Forests	roc_auc	0.7230331753554502
