	Model	Metric	Value
0	Single Tree	Accuracy	0.783661119515885
1	Bagging Tree	Accuracy	0.8139183055975794
2	Random Forests	Accuracy	0.789712556732224
3	Single Tree	Precision	0.6634615384615384
4	Bagging Tree	Precision	0.7588235294117647
5	Random Forests	Precision	0.725
6	Single Tree	Recall	0.6540284360189573
7	Bagging Tree	Recall	0.6113744075829384
8	Random Forests	Recall	0.5497630331753555
9	Single Tree	Specificity	0.8444444444444444
10	Bagging Tree	Specificity	0.9088888888888889
11	Random Forests	Specificity	0.9022222222222223
12	Single Tree	f1	0.6587112171837709
13	Bagging Tree	f1	0.6771653543307087
14	Random Forests	f1	0.6253369272237197
15	Single Tree	roc_auc	0.7492364402317009
16	Bagging Tree	roc_auc	0.7601316482359136
17	Random Forests	roc_auc	0.7259926276987888
